Type,Venue,Abbrv
2,Generative and Component-Based Software Engineering,GCSE
2,Requirements Targeting Software and Systems Engineering,RTSE
1,International Symposium on Service Oriented Software Engineering,SOSE
2,Theoretical Aspects of Software Engineering,TASE
1,Joint Conference on Knowledge-Based Software Engineering,JCKBSE
1,IEEE International Conference on Software Science, Technology and Engineering,SwSTE
2,Workshop on Interdisciplinary Software Engineering Research,WISER
1,International Conference on the Unified Modeling Language,UML
2,International Workshop on Formal Engineering approaches to Software Components and Architectures,FESCA
2,Software Security, Protection, and Reverse Engineering Workshop,SSPREW 
2,International Workshop on Model-Driven Engineering for Component-Based Software Systems,ModComp 
2,Workshop on Open Source Software for Model Driven Engineering,OSS4MDE 
2,Software Engineering im Unterricht der Hochschulen,SEUH
2,Software Engineering Theory and Practice,SETP
2,International Workshop on Empirical Software Engineering in Practice,IWESEP
1,International Conference on Software Engineering Research and Applications,SERA
1,International Conference on Software Engineering Advances,ICSEA
1,International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE
2,Software Engineering Research and Practice,SERP
2,Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing,SNPD
2,Radical Innovations of Software and Systems Engineering in the Future,RISSEF
2,International Workshop on Software Engineering for Resilient Systems,SERENE
2,Workshop on Program Analysis For Software Tools and Engineering,PASTE
1,International Symposium on Software and Systems Traceability,SST
2,Software Engineering Approaches for Offshore and Outsourced Development,SEAFOOD
1,ACM SIGSOFT Conference on the Foundations of Software Engineering,FSE
2,International Workshop on Control Theory for Software Engineering,CTSE 
2,International Workshop on Engineering of Software Services for Pervasive Environments,ESSPE 
2,Workshop on Future of Software Engineering Research,FoSER 
2,International Workshop on Service Oriented Software Engineering,IW-SOSWE 
2,International Workshop on Social Software Engineering,SSE 
1,IEEE International Conference on Software Engineering and Formal Methods,SEFM
2,Software Language Engineering,SLE
2,Software Engineering and Data Engineering,SEDE
2,International Workshop on Formal Methods and Analysis in Software Product Line Engineering,FMSPLE 
1,Canadian Conference on Computer Science & Software Engineering,C3S2E
1,International Conference on Model-Driven Engineering and Software Development,MODELSWARD
1,International Symposium on Software Engineering for Parallel and Distributed Systems,PDSE
1,ACM SIGSOFT/SIGPLAN Software Engineering Symposium on Practical Software Development Environments,SDE
2,Annual Software Engineering Workshop,SEW
1,International Conference on Advanced Aspects of Software Engineering,ICAASE
2,Software Engineering Environments,SEE
1,International Conference on Software Engineering and Knowledge Engineering,SEKE
1,International Conference on Human-Centered Software Engineering,HCSE
1,International Conference on Soft Computing and Software Engineering,SCSE
2,International School on Engineering Trustworthy Software Systems,SETSS
1,International Symposium on Software Engineering: Theories, Tools, and Applications,SETTA
1,Australian Software Engineering Conference,ASWEC
1,Central and East European Conference on Software Engineering Techniques,CEE-SET
2,also: Software Engineering Techniques: Design for Quality,SET
2,International Workshop on Software Engineering for Large-Scale Multi-Agent Systems,SELMAS
1,International Conference on Intelligent and Adaptive Systems and Software Engineering,IASSE
2,Rapid Integration of Software Engineering Techniques,RISE
1,RIMS Symposium on Software Science and Engineering,RIMS
1,Annual India Software Engineering Conference,ISEC
2,International Workshop on Software Engineering for Systems-of-Systems,SESoS 
1,International Conference on Global Software Engineering,ICGSE
1,European Software Engineering Conference,ESEC
1,International Symposium on Empirical Software Engineering and Measurement,ESEM
1,Conference on Software Technology and Engineering Practice,STEP
1,International Symposium on Search Based Software Engineering,SSBSE
1,International Conference on Predictive Models in Software Engineering,PROMISE
2,Workshop on Formal Methods in Software Engineering Education and Training,FMSEE&T 
2,Pernambuco Summer School on Software Engineering,PSSE
1,International Conference on Performance Engineering,ICPE
2,Workshop on Agent-Oriented Software Engineering,AOSE
2,Workshop on Software Engineering Properties of Languages and Aspect Technologies,SPLAT 
1,International Conference on Automated Software Engineering,ASE
2,Generative and Transformational Techniques in Software Engineering,GTTSE
1,International Symposium on Multimedia Software Engineering,ISMSE
2,International Workshop on Software Engineering for High Performance Computing in Computational Science and Engineering,SE-HPCCSE 
2,Software Engineering,SE
1,International Conference on Multicore Software Engineering, Performance, and Tools,MSEPT
1,International Conference on Agile Processes in Software Engineering and Extreme Programming,XP
1,International Conference on Multicore Software Engineering, Performance, and Tools,MUSEPAT
1,KKIO Software Engineering Conference,KKIO
